group_id,mass_log_msun,mass_200c_1e14Msun,pos_x,pos_y,pos_z
0,15.038485699567925,10.926616474756434,,,
5475,14.756568285735549,5.709108355476817,,,
9446,14.807256521074502,6.415884263359904,,,
13762,14.794783087875894,6.234233835252449,,,
17103,14.615769631355656,4.128284617655747,,,
19941,14.659402720303813,4.564599940950702,,,
22474,14.613291764241803,4.104797756126369,,,
25135,14.590495445991833,3.894892235016243,,,
27444,14.60701472287219,4.045896073221143,,,
29646,14.606191526804876,4.038234425745493,,,
32058,14.59897811890034,3.971715382344264,,,
34075,14.609184970836344,4.066164747564212,,,
35718,14.60559099000439,4.032654266312367,,,
37639,14.361348573600313,2.297992323590194,,,
39578,14.515576246595947,3.2777531739002055,,,
41645,14.525507697477586,3.353572483023325,,,
43411,14.307984656187342,2.0322852081488003,,,
45104,14.212001915328258,1.6293032181871885,,,
47140,14.417196770571655,2.613345143194568,,,
48865,14.387551127320517,2.440906406849723,,,
50248,14.280884306515562,1.909344552701504,,,
52169,14.452754511262263,2.836315323294951,,,
53562,14.44554996897404,2.7896516090935886,,,
55071,14.249052049100289,1.7744021257750253,,,
56924,14.40831659239003,2.560451727192203,,,
58280,13.82483481196504,0.6680897549453783,,,
59887,14.403712582974363,2.533451431945675,,,
61115,14.390081005242859,2.455166814289933,,,
62502,14.337469578036785,2.175051668142903,,,
64012,14.399864227617053,2.511101269560085,,,
65306,14.086132226102592,1.2193607912607027,,,
66526,14.379746181017822,2.397431355181576,,,
67780,14.363386002741832,2.3087983466194255,,,
69114,14.267130140269407,1.8498228520814917,,,
70382,14.276883584955277,1.891836433421906,,,
71545,14.278162694154366,1.8974165928550304,,,
72785,14.321932222488634,2.098612341304992,,,
74042,14.268952809828756,1.8576025981694728,,,
75498,14.329695365094283,2.1364629465603757,,,
76599,14.305653415848088,2.021405373486863,,,
77734,14.302961873966069,2.0089164452317707,,,
78892,14.218973447393749,1.655668733392381,,,
80097,14.247285238493953,1.7671981104222048,,,
81395,14.06897476314776,1.1721272512547998,,,
82505,14.252094486646538,1.7868762917035734,,,
83662,14.208326923715218,1.6155742545025102,,,
84791,14.276049120568672,1.8882049010924131,,,
85833,14.26178774269491,1.827206967818127,,,
86919,14.252277432820849,1.7876291703572484,,,
88088,14.184527139013555,1.5294213167995265,,,
89434,14.264034532915742,1.8366843814585196,,,
90550,14.19253074583095,1.5578683200472374,,,
91519,14.23283711360041,1.709374077354594,,,
92438,14.215876230058775,1.643903159137878,,,
93560,14.211048616340339,1.6257307351638635,,,
94632,14.211135366405108,1.6260555063477982,,,
95550,14.217856799210137,1.6514171833480957,,,
96499,14.126265268917917,1.3374121641570693,,,
97595,14.236895010617628,1.7254207263064631,,,
98518,14.09720585307406,1.2508517862415096,,,
99483,13.929470212261577,0.8501003838204898,,,
100546,14.222144845955532,1.6678033658104525,,,
101469,14.172192903670412,1.48659580749926,,,
102498,14.12713733157856,1.3401003838204903,,,
103559,14.098347330337305,1.2541437850605248,,,
104588,14.208858360055114,1.617552406259223,,,
105590,14.190182767417458,1.5494685562444637,,,
106547,13.979047690264672,0.9529007971656313,,,
107672,14.120596758352669,1.3200693829347518,,,
108635,14.13936263163078,1.3783599055211109,,,
109658,14.140898570010934,1.383243283141425,,,
110634,14.197803315639105,1.5768969589607345,,,
111429,14.050842394752696,1.1241969294360803,,,
112538,14.14196606536834,1.3866474756421598,,,
113515,14.181299983288499,1.5180986123413034,,,
114353,14.18873216132518,1.5443017419545344,,,
115057,14.042019946422055,1.1015899025686469,,,
