void_id,sample,RA,Dec,z_void,R_void_mpc,M_annulus_1e14,N_in_annulus,V_annulus_mpc3,rho_annulus,rho_mean_bin,delta
19796,CMASS North,153.402,23.473,0.536,41.471,47.9224841872669,10,16730547.739590786,2.8643703083231536e-06,1.85319635923684e-06,0.5456377809325734
19847,CMASS North,167.397,25.655,0.569,65.068,63.44633781005207,12,64621793.965814926,9.818102209235375e-07,1.85319635923684e-06,-0.47020712833266404
22129,CMASS North,194.166,43.544,0.466,69.996,413.85228119736234,129,80444490.19329841,5.14456963059776e-06,6.64238378624601e-06,-0.22549346798504558
21068,CMASS North,171.493,59.727,0.5,59.081,261.7708067057141,66,48374907.64675592,5.411293156717143e-06,6.64238378624601e-06,-0.18533867797250936
17611,CMASS North,206.257,24.07,0.466,69.175,366.14735576685496,116,77646903.2629916,4.715543574567379e-06,6.64238378624601e-06,-0.29008263805358925
17222,CMASS North,141.005,32.063,0.47,70.332,492.7101718407134,144,81608526.90691249,6.0374839556009594e-06,6.64238378624601e-06,-0.0910666787874529
21921,CMASS North,229.089,46.365,0.516,60.777,169.15409557479396,43,52661644.11250157,3.21209294592908e-06,1.85319635923684e-06,0.733271776581648
8794,CMASS North,138.556,39.662,0.514,59.922,156.23963658707942,41,50470259.4259068,3.095677303114482e-06,1.85319635923684e-06,0.670452938073602
3296,CMASS North,212.817,34.36,0.509,60.75,229.31579873488425,48,52591490.954617016,4.360321310015125e-06,1.85319635923684e-06,1.3528652472697158
10593,CMASS North,182.567,3.819,0.513,46.27,70.70222889560594,17,23236736.585868943,3.042691844198225e-06,1.85319635923684e-06,0.6418615485793572
5278,CMASS North,227.462,0.722,0.463,39.829,60.80688227640648,18,14820909.11230333,4.102776814542953e-06,6.64238378624601e-06,-0.3823336701745043
825,CMASS North,116.284,33.865,0.533,61.25,133.04734237116082,30,53900763.30656873,2.4683758486764647e-06,1.85319635923684e-06,0.331955913022061
4866,CMASS North,201.439,1.388,0.532,33.803,41.02437175757238,8,9060295.71287318,4.527928564106748e-06,1.85319635923684e-06,1.4433075003295295
17574,CMASS North,207.941,28.323,0.454,26.026,13.605138618242547,6,4135222.790126158,3.2900618198197442e-06,6.64238378624601e-06,-0.5046865815503946
19336,CMASS North,202.175,30.639,0.504,30.808,33.59767919613381,8,6859100.293667045,4.898263293679244e-06,1.85319635923684e-06,1.643143166812817
15558,CMASS North,142.483,11.586,0.464,60.952,296.06503385726023,93,53117853.64562181,5.573738649766831e-06,6.64238378624601e-06,-0.16088277505011964
7221,CMASS North,117.051,31.419,0.505,39.906,55.57655405971686,12,14907033.620909764,3.7282101505265855e-06,1.85319635923684e-06,1.0117728658078575
12374,CMASS North,225.297,6.349,0.517,59.983,166.82064302305463,41,50624551.05302271,3.2952518008175804e-06,1.85319635923684e-06,0.7781449787515174
4403,CMASS North,242.153,19.984,0.489,51.274,149.56932264667748,45,31620463.63325113,4.730143250948252e-06,6.64238378624601e-06,-0.2878846806860695
9778,CMASS North,159.312,34.103,0.586,65.572,57.76522443917164,10,66135086.65586604,8.734429386893075e-07,1.85319635923684e-06,-0.5286830052650234
4457,CMASS North,226.458,19.415,0.537,61.399,103.38953517624343,23,54295086.57506141,1.9042153111462551e-06,1.85319635923684e-06,0.027530246136693817
20012,CMASS North,169.425,31.849,0.46,70.088,501.0092963856152,159,80762106.54866867,6.2035194201342205e-06,6.64238378624601e-06,-0.06607031153793311
21786,CMASS North,208.13,58.841,0.452,34.858,37.495393753665866,16,9935369.721677866,3.7739303925303465e-06,6.64238378624601e-06,-0.43184096041773434
14752,CMASS North,217.584,7.1,0.465,43.625,103.08296624377218,34,19475246.182752755,5.293025067640084e-06,6.64238378624601e-06,-0.20314374508139132
12573,CMASS North,202.708,6.481,0.469,55.642,207.19266837704438,66,40409626.100061685,5.127309712393704e-06,6.64238378624601e-06,-0.22809192040205206
15033,CMASS North,177.622,13.683,0.503,58.728,266.618876913221,67,47512979.9348399,5.611495580341764e-06,1.85319635923684e-06,2.028009175807263
14779,CMASS North,184.296,7.955,0.503,55.452,94.72261783151922,25,39997079.38609035,2.368238363535628e-06,1.85319635923684e-06,0.2779209023003294
13023,CMASS North,231.044,34.237,0.557,66.314,39.04473844676394,10,68405703.10878672,5.707819183536561e-07,1.85319635923684e-06,-0.6920013815542416
2629,CMASS North,163.369,-0.928,0.488,39.254,56.495531100008606,15,14188235.575993951,3.981857419649648e-06,6.64238378624601e-06,-0.4005378870316642
17502,CMASS North,218.398,25.559,0.502,42.851,52.28503000974055,11,18456932.35023473,2.832812572403215e-06,1.85319635923684e-06,0.5286089670334707
8793,CMASS North,137.445,39.999,0.464,63.756,320.3169381129519,108,60791074.84246749,5.269144178533007e-06,6.64238378624601e-06,-0.20673897382389866
16640,CMASS North,135.877,48.592,0.455,35.594,69.29100509558208,23,10578084.321928512,6.550430398058076e-06,6.64238378624601e-06,-0.013843431988729137
17126,CMASS North,134.607,24.456,0.491,41.736,120.12318674425707,30,17053326.51523806,7.0439738919512604e-06,6.64238378624601e-06,0.0604587326822035
183,CMASS North,124.736,50.678,0.541,44.222,42.88868278978905,11,20285783.073795512,2.114223672498559e-06,1.85319635923684e-06,0.14085248546959792
11120,CMASS North,148.954,3.777,0.549,62.812,133.14573239231072,26,58130559.41249853,2.290460194052138e-06,1.85319635923684e-06,0.2359511622369938
11874,CMASS North,216.047,5.596,0.485,43.094,122.45344577960125,36,18772713.762290612,6.522948537444685e-06,6.64238378624601e-06,-0.017980781093774326
15443,CMASS North,229.5,8.74,0.501,60.907,148.6917197484537,41,53000292.000993796,2.8054886894899675e-06,1.85319635923684e-06,0.513864775044825
